carat - קראט,cut - חיתוך,color - צבע,clarity - שקיפות / דרגת ניקיון,depth - עומק באחוזים,table - משטח עליון באחוזים,x - אורך מ''מ,y - רוחב מ''מ,z - גובה מ''מ,price - מחיר בדולרים,מחיר לקרט
1.05,Ideal,F,SI1,62.0,55.0,6.5,6.54,4.04,5457,5197.142857142857
1.12,Ideal,H,SI1,60.7,56.0,6.74,6.7,4.08,5457,4872.321428571428
1.13,Ideal,E,SI2,62.2,56.0,6.7,6.66,4.16,5457,4829.203539823009
1.01,Ideal,H,SI1,62.7,56.0,6.37,6.42,4.01,5457,5402.970297029703
1.16,Premium,I,VS1,60.4,59.0,6.89,6.82,4.14,5457,4704.310344827587
1.14,Premium,H,SI1,59.3,59.0,6.8,6.76,4.02,5458,4787.7192982456145
1.0,Ideal,E,SI1,61.9,56.0,6.37,6.45,3.97,5458,5458.0
0.91,Ideal,E,SI1,61.9,55.0,6.21,6.23,3.85,5458,5997.802197802198
1.2,Good,I,SI1,64.4,61.0,6.52,6.59,4.22,5458,4548.333333333334
1.18,Premium,G,SI1,62.1,59.0,6.75,6.71,4.18,5458,4625.423728813559
1.14,Premium,H,SI1,61.9,58.0,6.71,6.67,4.14,5458,4787.7192982456145
1.14,Very Good,H,SI1,63.1,58.0,6.69,6.6,4.19,5458,4787.7192982456145
1.06,Ideal,J,VS2,61.4,56.0,6.55,6.6,4.04,5459,5150.0
1.0,Fair,H,VS1,55.8,60.0,6.66,6.61,3.7,5460,5460.0
1.5,Fair,D,I1,64.7,62.0,7.19,7.04,4.6,5460,3640.0
1.5,Premium,G,SI2,61.7,55.0,7.39,7.32,4.54,5460,3640.0
1.01,Very Good,E,SI1,60.0,60.0,6.43,6.51,3.88,5461,5406.9306930693065
1.01,Very Good,E,SI1,62.1,56.0,6.43,6.48,4.01,5461,5406.9306930693065
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5461,5151.88679245283
1.06,Premium,H,SI1,61.0,60.0,6.59,6.56,4.01,5461,5151.88679245283
1.21,Premium,H,VS2,60.8,62.0,6.82,6.78,4.13,5461,4513.2231404958675
1.29,Very Good,I,SI1,62.2,58.0,6.94,6.99,4.33,5463,4234.883720930233
1.29,Premium,J,VS1,61.7,59.0,6.93,6.97,4.29,5463,4234.883720930233
1.19,Premium,I,SI1,61.3,59.0,6.84,6.79,4.18,5464,4591.596638655463
1.07,Premium,H,SI1,63.0,57.0,6.55,6.44,4.09,5465,5107.476635514018
1.22,Premium,I,SI1,59.0,61.0,7.02,6.98,4.13,5466,4480.327868852459
1.22,Premium,I,SI1,62.2,57.0,6.87,6.79,4.25,5466,4480.327868852459
1.22,Premium,I,SI1,62.1,59.0,6.86,6.8,4.24,5466,4480.327868852459
1.22,Premium,H,SI2,60.2,56.0,6.96,6.93,4.18,5466,4480.327868852459
1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,5468,5207.619047619048
1.05,Premium,H,VS2,59.0,59.0,6.71,6.68,3.95,5468,5207.619047619048
1.02,Premium,H,VS1,62.1,59.0,6.38,6.43,3.98,5469,5361.764705882353
1.14,Ideal,I,SI1,62.3,58.0,6.65,6.7,4.16,5469,4797.368421052632
1.04,Ideal,H,SI1,61.7,56.0,6.51,6.55,4.03,5469,5258.653846153846
1.0,Good,D,SI1,64.9,53.0,6.27,6.3,4.08,5469,5469.0
1.0,Premium,E,SI1,60.8,60.0,6.45,6.42,3.91,5470,5470.0
1.14,Ideal,E,SI2,62.4,57.0,6.64,6.7,4.16,5473,4800.877192982456
1.2,Very Good,G,SI2,60.2,63.0,6.81,6.84,4.11,5474,4561.666666666667
1.2,Premium,I,VS2,62.1,59.0,6.77,6.72,4.19,5474,4561.666666666667
1.01,Fair,G,VS2,66.6,55.0,6.27,6.22,4.16,5475,5420.79207920792
0.9,Very Good,D,VS2,62.3,56.0,6.14,6.18,3.84,5476,6084.444444444444
1.2,Very Good,I,SI1,62.6,57.0,6.74,6.77,4.23,5476,4563.333333333334
1.03,Ideal,E,SI1,62.1,56.0,6.43,6.48,4.01,5476,5316.504854368932
1.03,Ideal,E,SI1,61.3,57.0,6.48,6.51,3.98,5476,5316.504854368932
1.1,Premium,H,SI1,60.7,59.0,6.72,6.7,4.07,5476,4978.181818181818
1.18,Premium,I,VS1,62.6,59.0,6.73,6.71,4.21,5477,4641.525423728814
1.01,Ideal,I,VVS1,61.7,56.0,6.42,6.47,3.98,5478,5423.762376237623
1.01,Very Good,E,SI1,64.1,56.0,6.29,6.35,4.05,5479,5424.752475247525
1.06,Very Good,H,VS2,62.4,56.0,6.49,6.56,4.07,5480,5169.811320754717
1.05,Very Good,G,SI1,62.0,56.0,6.47,6.55,4.04,5480,5219.047619047619
0.9,Good,F,VVS2,61.8,63.0,6.14,6.19,3.81,5480,6088.888888888889
1.16,Premium,H,SI1,60.2,59.0,6.84,6.77,4.1,5480,4724.137931034483
1.31,Premium,J,SI1,62.5,55.0,7.05,6.97,4.38,5480,4183.206106870229
1.13,Very Good,F,SI1,60.6,60.0,6.67,6.76,4.07,5481,4850.442477876107
1.0,Good,G,SI1,62.2,63.0,6.36,6.41,3.97,5483,5483.0
1.11,Premium,F,SI1,60.1,61.0,6.74,6.64,4.06,5483,4939.639639639639
1.13,Ideal,H,SI1,62.3,56.0,6.69,6.66,4.16,5483,4852.212389380531
1.0,Good,G,VS2,63.7,59.0,6.38,6.33,4.05,5484,5484.0
1.02,Premium,F,SI1,62.9,55.0,6.47,6.41,4.05,5484,5376.470588235294
0.91,Very Good,G,VS2,62.3,59.0,6.13,6.17,3.83,5484,6026.373626373626
1.0,Good,G,VS2,63.7,57.0,6.32,6.28,4.01,5484,5484.0
1.0,Good,G,VS2,56.6,61.0,6.65,6.61,3.75,5484,5484.0
1.0,Fair,G,VS2,67.6,57.0,6.2,6.13,4.17,5484,5484.0
1.0,Fair,G,VS2,63.7,55.0,6.28,6.21,3.98,5484,5484.0
1.2,Ideal,G,SI2,62.2,56.0,6.84,6.74,4.22,5484,4570.0
1.06,Premium,E,SI1,62.0,61.0,6.55,6.51,4.05,5485,5174.528301886792
1.06,Premium,E,SI1,60.8,58.0,6.59,6.54,3.99,5485,5174.528301886792
1.24,Very Good,H,SI2,63.2,55.0,6.88,6.83,4.33,5486,4424.193548387097
1.09,Ideal,I,SI1,61.9,55.0,6.66,6.62,4.11,5486,5033.027522935779
1.01,Ideal,F,SI1,62.0,56.0,6.44,6.39,3.98,5486,5431.683168316832
1.01,Good,F,VS2,57.3,62.0,6.63,6.59,3.79,5487,5432.6732673267325
1.14,Good,H,SI1,62.8,58.0,6.62,6.67,4.17,5487,4813.1578947368425
1.12,Fair,G,VS1,64.8,56.0,6.48,6.52,4.21,5487,4899.107142857142
1.38,Premium,G,SI2,58.3,59.0,7.34,7.27,4.26,5487,3976.0869565217395
1.08,Premium,F,SI1,61.0,59.0,6.67,6.57,4.04,5487,5080.555555555556
1.3,Fair,J,SI1,66.0,57.1,6.73,6.82,4.45,5488,4221.538461538461
1.0,Premium,D,SI1,61.3,54.0,6.39,6.37,3.91,5488,5488.0
1.0,Premium,D,SI1,59.5,60.0,6.49,6.42,3.84,5488,5488.0
1.0,Premium,D,SI1,62.1,58.0,6.45,6.34,3.97,5488,5488.0
1.0,Premium,D,SI1,61.5,60.0,6.38,6.34,3.91,5488,5488.0
1.0,Premium,D,SI1,62.1,61.0,6.32,6.3,3.92,5488,5488.0
1.0,Ideal,D,SI1,61.7,57.0,6.39,6.42,3.95,5489,5489.0
1.21,Ideal,J,SI1,62.7,55.0,6.84,6.79,4.27,5489,4536.363636363637
1.21,Premium,J,VS1,60.0,60.0,6.95,6.88,4.15,5489,4536.363636363637
1.2,Very Good,I,SI2,63.7,56.0,6.66,6.71,4.26,5490,4575.0
1.23,Good,H,SI1,63.7,59.0,6.76,6.71,4.29,5490,4463.414634146341
1.06,Very Good,F,SI1,59.6,60.0,6.61,6.68,3.96,5491,5180.188679245282
1.06,Very Good,F,SI1,58.8,57.0,6.67,6.76,3.95,5491,5180.188679245282
1.03,Ideal,D,SI2,60.5,58.0,6.52,6.58,3.96,5491,5331.0679611650485
1.03,Premium,D,SI1,61.8,57.0,6.53,6.49,4.02,5491,5331.0679611650485
1.03,Ideal,E,SI2,61.7,55.0,6.52,6.46,4.01,5491,5331.0679611650485
1.05,Good,H,VS2,63.7,58.0,6.4,6.45,4.09,5492,5230.47619047619
1.02,Ideal,E,SI1,60.5,56.0,6.57,6.53,3.96,5493,5385.294117647059
1.05,Very Good,E,SI1,62.2,56.0,6.49,6.56,4.06,5494,5232.380952380952
1.2,Ideal,E,SI2,61.1,55.0,6.9,6.87,4.21,5494,4578.333333333334
1.04,Ideal,F,SI1,61.3,56.0,6.51,6.55,4.0,5495,5283.653846153846
1.11,Ideal,H,SI2,61.2,56.0,6.7,6.69,4.1,5496,4951.351351351351
1.09,Ideal,G,SI1,62.4,56.0,6.57,6.61,4.11,5496,5042.201834862385
1.02,Good,D,SI1,63.3,58.0,6.35,6.39,4.03,5497,5389.21568627451
1.19,Ideal,E,SI2,61.9,56.0,6.8,6.84,4.22,5497,4619.327731092437
1.02,Good,D,SI1,63.5,61.0,6.27,6.35,4.01,5497,5389.21568627451
1.24,Very Good,I,SI2,61.6,59.0,6.87,6.9,4.24,5497,4433.064516129032
1.01,Very Good,G,SI1,62.9,58.0,6.35,6.4,4.01,5497,5442.574257425743
1.01,Ideal,G,SI1,61.1,58.0,6.43,6.49,3.95,5497,5442.574257425743
1.01,Good,G,VS2,62.0,61.0,6.29,6.38,3.93,5497,5442.574257425743
1.03,Very Good,D,SI1,62.6,58.0,6.44,6.49,4.05,5498,5337.864077669903
1.07,Ideal,H,SI1,62.1,56.0,6.53,6.58,4.07,5498,5138.317757009346
1.07,Premium,H,VS2,62.4,59.0,6.53,6.46,4.05,5498,5138.317757009346
1.01,Very Good,E,SI1,62.9,60.0,6.35,6.43,4.02,5499,5444.554455445545
1.01,Good,E,SI1,63.3,55.0,6.37,6.42,4.05,5499,5444.554455445545
1.01,Very Good,E,SI1,62.8,57.0,6.37,6.41,4.01,5499,5444.554455445545
1.01,Very Good,E,SI1,62.9,58.0,6.35,6.41,4.01,5499,5444.554455445545
1.25,Premium,J,VS1,62.0,58.0,6.89,6.92,4.28,5500,4400.0
1.0,Premium,E,SI1,61.6,59.0,6.38,6.41,3.94,5500,5500.0
1.0,Good,G,VS2,63.3,60.0,6.29,6.37,4.01,5500,5500.0
1.25,Very Good,I,SI1,58.9,58.0,7.04,7.08,4.16,5500,4400.0
1.02,Very Good,F,SI1,59.8,58.0,6.49,6.55,3.9,5500,5392.156862745098
1.14,Ideal,H,SI1,62.3,56.0,6.72,6.69,4.18,5501,4825.438596491228
1.01,Good,D,SI1,57.6,60.0,6.59,6.64,3.81,5501,5446.534653465346
1.01,Fair,F,VS2,65.5,62.0,6.19,6.23,4.07,5501,5446.534653465346
1.11,Ideal,D,SI2,62.2,57.0,6.66,6.62,4.12,5501,4955.855855855855
0.9,Very Good,H,VS2,62.6,59.0,6.07,6.16,3.83,5502,6113.333333333333
1.21,Premium,I,VS2,62.2,59.0,6.79,6.85,4.24,5502,4547.107438016529
1.22,Ideal,H,SI2,61.0,57.0,6.88,6.93,4.2,5502,4509.836065573771
1.22,Ideal,H,SI2,61.7,56.0,6.87,6.93,4.26,5502,4509.836065573771
1.04,Premium,F,SI1,61.5,59.0,6.54,6.46,4.0,5504,5292.307692307692
1.12,Very Good,G,SI2,61.2,58.0,6.65,6.69,4.08,5504,4914.285714285714
0.9,Very Good,F,VVS2,61.0,63.0,6.13,6.09,3.73,5504,6115.555555555556
1.22,Ideal,J,VS1,60.8,57.0,6.85,6.89,4.18,5504,4511.475409836065
1.23,Premium,J,VS2,61.9,55.0,6.94,6.88,4.28,5504,4474.79674796748
1.19,Premium,D,SI2,58.8,58.0,7.04,6.9,4.1,5504,4625.210084033613
1.19,Ideal,D,SI2,60.4,55.0,6.91,6.89,4.17,5504,4625.210084033613
1.05,Ideal,G,VS2,61.1,57.0,6.55,6.52,3.99,5504,5241.9047619047615
1.46,Fair,G,SI2,64.6,54.0,7.11,7.03,4.57,5504,3769.8630136986303
1.26,Premium,I,SI1,60.9,58.0,6.99,6.94,4.24,5504,4368.253968253968
1.0,Good,F,VS2,63.4,56.0,6.27,6.35,4.0,5505,5505.0
1.0,Very Good,F,VS2,61.9,59.0,6.34,6.38,3.94,5505,5505.0
1.02,Ideal,H,SI1,59.8,58.0,6.56,6.58,3.93,5505,5397.058823529412
1.02,Premium,G,VS2,62.7,58.0,6.44,6.36,4.01,5506,5398.0392156862745
1.11,Ideal,I,VS2,61.7,55.0,6.66,6.69,4.12,5506,4960.36036036036
1.15,Premium,H,SI1,62.0,58.0,6.77,6.66,4.16,5506,4787.826086956522
1.02,Very Good,E,SI1,63.1,61.0,6.42,6.35,4.03,5508,5400.0
0.24,Very Good,D,VS2,60.2,59.0,4.03,4.04,2.43,419,1745.8333333333335
0.27,Very Good,D,VS2,63.0,57.0,4.06,4.1,2.57,419,1551.8518518518517
0.24,Very Good,E,VS2,60.1,58.0,4.01,4.04,2.42,419,1745.8333333333335
0.24,Very Good,E,VS2,63.5,53.0,3.96,3.98,2.52,419,1745.8333333333335
0.24,Very Good,E,VS2,62.1,58.0,4.0,4.02,2.49,419,1745.8333333333335
0.24,Very Good,E,VS2,63.1,56.0,3.95,3.98,2.5,419,1745.8333333333335
0.24,Very Good,E,VS2,63.0,58.0,3.94,3.97,2.49,419,1745.8333333333335
0.24,Very Good,E,VS2,61.5,58.0,4.02,4.05,2.48,419,1745.8333333333335
0.24,Very Good,E,VS2,62.1,59.0,3.98,4.01,2.48,419,1745.8333333333335
0.24,Very Good,F,VS2,61.4,58.0,3.99,4.05,2.47,419,1745.8333333333335
0.24,Very Good,F,VS2,62.4,58.0,3.98,4.0,2.49,419,1745.8333333333335
0.24,Very Good,F,VS2,62.9,58.0,3.94,4.01,2.5,419,1745.8333333333335
0.24,Very Good,F,VS2,59.6,58.0,4.08,4.11,2.44,419,1745.8333333333335
0.24,Very Good,F,VS2,61.9,59.0,3.98,4.0,2.47,419,1745.8333333333335
0.24,Very Good,F,VS1,59.9,58.0,4.02,4.06,2.42,419,1745.8333333333335
0.24,Very Good,F,VS1,63.0,58.0,3.92,3.95,2.48,419,1745.8333333333335
0.24,Very Good,F,VS1,62.5,58.0,3.95,3.96,2.47,419,1745.8333333333335
0.24,Very Good,F,VS1,63.0,59.0,3.93,3.97,2.49,419,1745.8333333333335
0.24,Very Good,E,VS1,62.4,59.0,3.94,3.98,2.47,419,1745.8333333333335
0.24,Very Good,E,VS1,59.8,58.0,4.02,4.11,2.43,419,1745.8333333333335
0.24,Very Good,D,VS1,61.4,58.0,3.99,4.02,2.46,419,1745.8333333333335
0.24,Very Good,D,VS1,62.2,58.0,3.95,3.99,2.47,419,1745.8333333333335
0.24,Very Good,D,VS1,62.9,56.0,3.96,3.99,2.5,419,1745.8333333333335
0.24,Ideal,F,VS2,62.2,57.0,3.96,4.01,2.48,419,1745.8333333333335
0.24,Ideal,F,VS2,61.2,57.0,4.04,4.06,2.48,419,1745.8333333333335
0.24,Ideal,F,VS1,61.3,56.0,4.0,4.03,2.46,419,1745.8333333333335
0.26,Very Good,D,VS2,59.6,63.0,4.13,4.16,2.47,420,1615.3846153846152
0.26,Very Good,D,VS1,63.3,57.0,4.03,4.06,2.56,420,1615.3846153846152
0.32,Ideal,H,SI2,61.5,56.0,4.43,4.45,2.73,420,1312.5
0.32,Ideal,H,SI2,61.9,54.0,4.42,4.46,2.75,420,1312.5
0.3,Ideal,F,VS2,62.0,53.7,4.31,4.33,2.68,601,2003.3333333333335
0.3,Ideal,F,VS2,62.3,53.5,4.27,4.32,2.68,601,2003.3333333333335
0.3,Ideal,F,VS2,62.5,53.3,4.28,4.31,2.69,601,2003.3333333333335
0.3,Ideal,D,VS1,61.0,58.0,4.3,4.36,2.64,601,2003.3333333333335
0.31,Ideal,E,SI1,60.1,57.0,4.36,4.39,2.63,601,1938.7096774193549
0.37,Ideal,J,IF,61.9,54.0,4.63,4.68,2.88,601,1624.3243243243244
0.39,Fair,E,SI1,65.6,60.0,4.5,4.56,2.97,601,1541.0256410256409
0.35,Good,D,SI1,63.3,56.0,4.5,4.53,2.86,601,1717.1428571428573
0.35,Premium,D,SI1,61.5,58.0,4.53,4.55,2.79,601,1717.1428571428573
0.35,Ideal,D,SI1,62.1,57.0,4.47,4.49,2.78,601,1717.1428571428573
0.38,Ideal,G,SI2,61.6,55.0,4.64,4.68,2.87,602,1584.2105263157894
0.38,Ideal,G,SI2,61.2,56.0,4.7,4.74,2.89,602,1584.2105263157894
0.38,Ideal,F,SI2,62.1,56.0,4.62,4.65,2.88,602,1584.2105263157894
0.32,Very Good,F,VS2,59.7,62.0,4.38,4.43,2.63,602,1881.25
0.32,Good,F,VS2,63.3,57.0,4.34,4.38,2.76,602,1881.25
0.32,Ideal,G,VS1,61.9,55.0,4.4,4.42,2.73,602,1881.25
0.32,Very Good,F,VS2,58.8,62.0,4.43,4.48,2.62,602,1881.25
0.32,Ideal,F,VS2,61.9,55.0,4.41,4.45,2.74,602,1881.25
0.32,Ideal,G,VS1,60.7,56.0,4.43,4.46,2.7,602,1881.25
0.32,Very Good,F,VS2,63.0,57.0,4.33,4.37,2.74,602,1881.25
0.32,Ideal,F,VS2,62.4,57.0,4.37,4.44,2.75,602,1881.25
0.32,Very Good,G,VS1,61.2,62.0,4.41,4.45,2.71,602,1881.25
0.32,Premium,H,VVS2,62.2,58.0,4.33,4.38,2.71,602,1881.25
0.32,Very Good,F,VS2,61.2,58.0,4.38,4.41,2.69,602,1881.25
0.32,Premium,F,VS2,59.5,60.0,4.46,4.48,2.66,602,1881.25
0.35,Very Good,H,VS1,60.0,57.0,4.57,4.6,2.75,603,1722.857142857143
0.3,Very Good,E,VS2,62.7,53.0,4.32,4.35,2.72,603,2010.0
0.3,Very Good,F,VS1,63.1,59.0,4.2,4.27,2.67,603,2010.0
0.4,Very Good,J,SI1,58.9,59.0,4.84,4.87,2.86,603,1507.5
0.37,Ideal,I,VS2,61.2,56.0,4.62,4.66,2.84,603,1629.7297297297298
1.18,Very Good,H,SI1,60.1,59.0,6.83,6.88,4.11,5508,4667.796610169492
1.16,Ideal,H,SI2,61.1,56.0,6.78,6.79,4.15,5509,4749.137931034483
1.02,Ideal,E,SI1,62.3,54.0,6.45,6.49,4.03,5509,5400.980392156863
1.2,Ideal,H,SI1,62.9,57.0,6.79,6.76,4.26,5510,4591.666666666667
1.2,Premium,I,SI1,60.7,59.0,6.9,6.87,4.18,5510,4591.666666666667
1.2,Premium,H,SI2,62.4,57.0,6.83,6.75,4.24,5510,4591.666666666667
1.23,Ideal,H,SI2,63.8,57.0,6.78,6.72,4.31,5510,4479.674796747968
1.5,Ideal,I,I1,61.8,57.0,7.39,7.31,4.54,5510,3673.3333333333335
1.2,Ideal,I,SI1,61.8,56.0,6.8,6.77,4.19,5510,4591.666666666667
1.23,Premium,J,VS1,62.7,58.0,6.82,6.79,4.27,5510,4479.674796747968
1.2,Premium,I,SI1,61.1,58.0,6.88,6.8,4.18,5510,4591.666666666667
1.0,Very Good,G,SI1,62.3,62.0,6.34,6.38,3.96,5511,5511.0
0.9,Very Good,D,VS1,63.4,58.0,6.15,6.09,3.88,5511,6123.333333333333
1.32,Very Good,J,SI2,61.7,60.0,6.95,7.01,4.31,5513,4176.515151515151
1.2,Good,F,SI2,59.0,60.0,6.9,6.97,4.09,5514,4595.0
1.08,Very Good,H,VS2,62.9,59.0,6.47,6.56,4.1,5515,5106.481481481481
1.01,Premium,H,VS1,61.1,58.0,6.48,6.45,3.95,5515,5460.39603960396
1.01,Good,H,VS1,63.8,59.0,6.34,6.3,4.03,5515,5460.39603960396
1.01,Premium,E,SI1,62.8,59.0,6.45,6.41,4.04,5515,5460.39603960396
1.08,Very Good,H,SI1,63.2,58.0,6.57,6.49,4.13,5516,5107.407407407407
1.06,Ideal,I,VS2,60.3,57.0,6.61,6.66,4.01,5516,5203.77358490566
0.92,Ideal,E,SI1,62.1,56.0,6.22,6.24,3.87,5516,5995.652173913043
1.08,Ideal,H,SI1,61.8,54.0,6.6,6.61,4.09,5517,5108.333333333333
1.27,Premium,J,VS1,62.6,59.0,6.88,6.92,4.32,5518,4344.881889763779
1.2,Very Good,G,SI2,61.7,59.0,6.81,6.86,4.22,5518,4598.333333333334
1.03,Ideal,G,SI1,61.6,55.0,6.48,6.52,4.0,5518,5357.281553398058
1.01,Very Good,G,VS2,62.5,60.0,6.31,6.37,3.96,5519,5464.3564356435645
1.16,Ideal,J,IF,60.6,56.0,6.79,6.86,4.14,5519,4757.758620689656
1.16,Ideal,G,SI1,60.9,57.0,6.79,6.75,4.12,5519,4757.758620689656
1.46,Premium,I,SI2,62.4,59.0,7.21,7.16,4.49,5519,3780.13698630137
1.06,Very Good,F,SI1,63.4,58.0,6.51,6.42,4.1,5520,5207.547169811321
1.06,Premium,H,VS2,60.7,59.0,6.61,6.57,4.0,5520,5207.547169811321
1.24,Ideal,G,SI2,61.4,56.0,6.98,6.92,4.27,5520,4451.612903225807
1.23,Premium,I,VS2,61.7,58.0,6.85,6.87,4.23,5521,4488.617886178862
1.0,Very Good,F,SI1,63.3,58.0,6.34,6.36,4.02,5521,5521.0
1.1,Very Good,H,SI1,62.9,57.0,6.54,6.59,4.13,5521,5019.090909090909
1.12,Ideal,H,SI1,61.9,57.0,6.64,6.68,4.12,5521,4929.464285714285
1.0,Very Good,G,SI1,61.0,56.7,6.44,6.47,3.94,5522,5522.0
1.2,Very Good,I,SI1,62.6,59.0,6.75,6.71,4.21,5522,4601.666666666667
1.02,Ideal,H,SI1,60.9,57.0,6.51,6.55,3.98,5522,5413.725490196079
1.03,Premium,H,VS1,62.5,59.0,6.43,6.47,4.03,5523,5362.135922330097
1.03,Premium,H,VS1,62.0,59.0,6.45,6.48,4.01,5523,5362.135922330097
1.1,Very Good,I,VS2,61.8,58.0,6.59,6.62,4.08,5524,5021.818181818181
1.08,Very Good,H,VS2,58.1,62.0,6.72,6.74,3.91,5524,5114.814814814815
1.35,Fair,J,SI1,65.2,56.0,6.9,7.02,4.54,5524,4091.8518518518517
1.04,Very Good,F,SI1,62.9,54.0,6.46,6.49,4.07,5525,5312.5
1.01,Premium,E,SI1,60.7,58.0,6.5,6.48,3.94,5525,5470.297029702971
1.15,Ideal,E,SI1,62.7,56.0,6.73,6.7,4.21,5526,4805.217391304348
1.03,Good,D,SI1,57.7,62.0,6.63,6.65,3.83,5526,5365.0485436893205
1.13,Very Good,G,SI1,63.1,58.0,6.65,6.59,4.18,5526,4890.265486725664
1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5527,5472.277227722772
1.09,Ideal,F,SI1,62.5,57.0,6.59,6.54,4.1,5527,5070.642201834862
1.0,Very Good,F,SI1,63.3,58.0,6.28,6.39,4.01,5528,5528.0
1.04,Ideal,E,SI1,62.4,57.0,6.48,6.53,4.06,5528,5315.384615384615
1.21,Premium,G,SI2,60.3,58.0,6.96,6.9,4.18,5529,4569.421487603306
1.27,Very Good,J,VS2,62.7,58.0,6.88,6.91,4.32,5530,4354.330708661418
0.91,Very Good,E,VS1,61.8,60.0,6.17,6.2,3.82,5530,6076.923076923077
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5531,4894.690265486726
1.04,Ideal,E,SI2,62.3,55.0,6.46,6.49,4.03,5531,5318.2692307692305
1.21,Premium,J,VVS2,61.7,60.0,6.85,6.82,4.22,5531,4571.07438016529
1.01,Premium,D,SI1,58.9,58.0,6.57,6.54,3.86,5532,5477.227722772277
1.07,Ideal,G,SI1,61.7,54.0,6.59,6.61,4.07,5532,5170.093457943925
1.01,Very Good,D,SI1,59.7,57.0,6.53,6.56,3.91,5533,5478.217821782178
1.52,Fair,G,SI2,64.9,59.0,7.19,7.15,4.65,5533,3640.1315789473683
1.01,Very Good,E,SI1,59.5,57.0,6.56,6.62,3.92,5534,5479.207920792079
1.22,Premium,G,SI2,60.2,58.0,6.92,6.9,4.16,5534,4536.065573770492
1.15,Ideal,I,VS2,61.7,57.0,6.72,6.74,4.15,5534,4812.173913043479
1.2,Ideal,J,VS1,61.3,56.0,6.83,6.87,4.2,5534,4611.666666666667
1.08,Ideal,F,SI1,62.7,57.0,6.53,6.57,4.11,5534,5124.074074074074
1.01,Ideal,E,SI1,62.0,56.0,6.41,6.47,3.99,5534,5479.207920792079
1.01,Ideal,E,SI1,60.8,56.0,6.48,6.51,3.95,5534,5479.207920792079
1.06,Premium,F,SI1,58.4,61.0,6.73,6.69,3.92,5535,5221.698113207547
0.9,Premium,E,VS1,59.4,59.0,6.28,6.31,3.74,5535,6150.0
1.1,Ideal,G,SI2,62.6,56.0,6.64,6.58,4.14,5535,5031.818181818181
1.2,Ideal,I,SI1,62.4,57.0,6.75,6.8,4.23,5535,4612.5
0.91,Ideal,D,SI1,62.1,55.0,6.2,6.24,3.86,5535,6082.417582417582
1.04,Good,G,VS2,61.4,65.0,6.53,6.47,3.99,5535,5322.115384615385
1.5,Premium,J,SI1,62.1,57.0,7.42,7.26,4.56,5536,3690.6666666666665
1.07,Ideal,E,SI1,61.4,57.0,6.59,6.53,4.03,5537,5174.7663551401865
1.16,Very Good,H,VS2,63.0,57.0,6.64,6.66,4.19,5537,4773.275862068966
1.15,Very Good,G,SI1,61.3,62.0,6.68,6.72,4.11,5538,4815.652173913044
1.01,Good,G,VS2,63.2,64.0,6.34,6.28,3.99,5538,5483.168316831683
1.01,Fair,G,VS2,64.5,57.0,6.26,6.2,4.02,5538,5483.168316831683
1.01,Premium,G,VS2,58.1,59.0,6.61,6.53,3.82,5538,5483.168316831683
1.09,Very Good,E,SI1,62.5,57.0,6.55,6.61,4.11,5539,5081.651376146789
0.7,Ideal,D,VVS2,61.4,56.0,5.72,5.75,3.53,5539,7912.857142857143
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,5539,7912.857142857143
0.7,Ideal,D,VVS2,60.7,57.0,5.75,5.78,3.5,5539,7912.857142857143
0.7,Ideal,D,VVS2,61.3,56.0,5.72,5.76,3.52,5539,7912.857142857143
0.7,Ideal,D,VVS2,61.1,55.0,5.75,5.78,3.52,5539,7912.857142857143
0.9,Ideal,G,VS1,62.1,56.0,6.15,6.19,3.83,5540,6155.555555555556
1.21,Premium,I,VS1,61.2,59.0,6.86,6.84,4.19,5540,4578.512396694215
1.21,Premium,J,VS2,60.2,57.0,6.97,6.91,4.18,5541,4579.338842975207
1.01,Very Good,D,SI1,61.5,61.0,6.37,6.47,3.95,5542,5487.1287128712875
1.01,Ideal,D,SI1,61.2,57.0,6.47,6.44,3.95,5543,5488.118811881188
1.01,Premium,D,SI1,61.6,60.0,6.47,6.43,3.97,5543,5488.118811881188
1.01,Premium,D,SI1,61.7,62.0,6.34,6.3,3.9,5543,5488.118811881188
1.01,Premium,D,SI1,61.8,60.0,6.37,6.35,3.93,5543,5488.118811881188
1.01,Good,D,SI1,63.8,58.0,6.38,6.34,4.06,5543,5488.118811881188
1.01,Very Good,D,SI1,63.1,60.0,6.39,6.32,4.01,5543,5488.118811881188
1.06,Premium,G,VS2,62.5,58.0,6.52,6.47,4.06,5543,5229.245283018868
1.01,Premium,D,SI1,60.0,60.0,6.51,6.45,3.89,5543,5488.118811881188
1.01,Premium,D,SI1,62.9,59.0,6.43,6.39,4.03,5543,5488.118811881188
1.01,Premium,D,SI1,62.6,58.0,6.44,6.33,4.0,5543,5488.118811881188
1.01,Premium,E,SI1,59.8,59.0,6.52,6.48,3.89,5543,5488.118811881188
1.0,Premium,E,SI1,60.3,62.0,6.33,6.25,3.79,5544,5544.0
